"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Quarantining Untrusted Entities: Dynamic Sandboxing Using LEAP","M. Radhakrishnan; J. A. Solworth","University of Illinois, Chicago, USA; University of Illinois, Chicago, USA",Twenty-Third Annual Computer Security Applications Conference (ACSAC 2007),"2 Jan 2008","2007","","","211","220","Jails, Sandboxes and other isolation mechanisms limit the damage from untrusted programs by reducing a process's privileges to the minimum. Sandboxing is designed to thwart such threats as (1) a program created by an attacker or (2) an input crafted to exploit a security vulnerability in a program. Examples of the later include input containing interpreted code or machine language to be injected via a buffer overflow. Traditionally, sandboxes are created by an invoking process. This is effective for (1) but only partially so for (2). For example, when a file is downloaded by a browser or processed as a mail attachment, the invoking process can sandbox it. However, sandboxing protections can be circumvented when the file is copied outside the sandbox. The problem is that traditional sandboxes do not provide complete mediation. We introduce dynamic sandboxes, and show how even when data is saved and/or copied, sandboxing protections are not lost. In addition, and in contrast to traditional sandbox implementations, dynamic sandboxes are implemented using general purpose access controls. Not only does this provide a more flexible sandbox mechanism, and enable complete mediation, but these same primitives can be used to build other (non-sandbox) authorization policies.","1063-9527","978-0-7695-3060-4","10.1109/ACSAC.2007.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4412990","","Protection;Mediation;Access control;Authorization;Operating systems;Buffer overflow;Postal services;Permission;Computer security;Application software","","3","","48","IEEE","2 Jan 2008","","","IEEE","IEEE Conferences"
"An Overview in DC Distribution System of Smart Building","Y. Gao; Y. Cen; M. Huang; J. Zeng; R. Chen; C. Zhang","China Southern Power Grid Electrical Technology Co.,Ltd Guangdong Power Grid Co.,Ltd., Guangzhou, China; School of Electromechanical Engineering, Guangdong University of Technology, Guangzhou, China; China Southern Power Grid Electrical Technology Co.,Ltd Guangdong Power Grid Co.,Ltd., Guangzhou, China; China Southern Power Grid Electrical Technology Co.,Ltd Guangdong Power Grid Co.,Ltd., Guangzhou, China; China Southern Power Grid Electrical Technology Co.,Ltd Guangdong Power Grid Co.,Ltd., Guangzhou, China; China Southern Power Grid Electrical Technology Co.,Ltd Guangdong Power Grid Co.,Ltd., Guangzhou, China",2021 International Conference on Power System Technology (POWERCON),"8 Feb 2022","2021","","","834","843","With the extension applications of distributed energy and power electronic devices, the electricity generated by the DC distribution system of smart building are characterized by saving energy, high reliability, high power quality and high energy efficiency ratio. This paper presents the technical situation beginning with an analysis based on power, grid structure and loads. Then main equipment of DC distribution system of smart building is focused. Moreover, the project situation of smart building is macroscopically summarized, including voltage grade and economics, etc. Finally, combining with “dual carbon gaol” and “rural revitalization”, prospects and opportunities of smart buildings are proposed.","2642-6226","978-1-6654-0737-3","10.1109/POWERCON53785.2021.9697630","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9697630","smart building;DC distribution system;grid structure;dual carbon goal;building energy management system","Economics;Smart buildings;Power quality;Voltage;Power grids;Topology;Power system reliability","","2","","34","IEEE","8 Feb 2022","","","IEEE","IEEE Conferences"
"JavaScript malware behaviour analysis and detection using sandbox assisted ensemble model","P. Kishore; S. K. Barisal; D. Prasad Mohapatra","CSE Dept., NIT Rourkela, Rourkela, India; CSE Dept., NIT Rourkela, Rourkela, India; CSE Dept., NIT Rourkela, Rourkela, India",2020 IEEE REGION 10 CONFERENCE (TENCON),"22 Dec 2020","2020","","","864","869","Whenever any internet user visits a website, a scripting language runs in the background known as JavaScript. The embedding of malicious activities within the script poses a great threat to the cyberworld. Attackers take advantage of the dynamic nature of the JavaScript and embed malicious code within the website to download malware and damage the host. JavaScript developers obfuscate the script to keep it shielded from getting detected by the malware detectors. In this paper, we propose a novel technique for analysing and detecting JavaScript using sandbox assisted ensemble model. We extract the payload using malware-jail sandbox to get the real script. Upon getting the extracted script, we analyse it to define the features that are needed for creating the dataset. We compute Pearson's r between every feature for feature extraction. An ensemble model consisting of Sequential Minimal Optimization (SMO), Voted Perceptron and AdaBoost algorithm is used with voting technique to detect malicious JavaScript. Experimental results show that our proposed model can detect obfuscated and de-obfuscated malicious JavaScript with an accuracy of 99.6% and 0.03s detection time. Our model performs better than other state-of-the-art models in terms of accuracy and least training and detection time.","2159-3450","978-1-7281-8455-5","10.1109/TENCON50793.2020.9293847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9293847","JavaScript;Sandbox;Sequential Minimal Optimization;Voted Perceptron;AdaBoost","Malware;Feature extraction;Computational modeling;Training;Payloads;Analytical models;Tools","","2","","20","IEEE","22 Dec 2020","","","IEEE","IEEE Conferences"
"Acoustic assessment of the austral sardine, Sprattus fuegensis, in the inner sea of the Chilean Patagonia","L. A. Cubillos; M. Pedraza; M. Gutierrez; H. Rebolledo; C. Parra; S. Curin-Osorio; M. C. Perez-Cuesta; C. Carrasco; C. Alarcon","EPOMAR, Universidad de Concepción, Concepción, Chile; Subsecretaría de Pesca y Acuicultura, Valparaíso; Facultad de Oceanografía, Pesquerías y Ciencias Alimentarias, Universidad Nacional Federico Villarreal, Miraflores, Lima, Perú; Subsecretaría de Pesca y Acuicultura, Valparaíso; EPOMAR, Universidad de Concepción, Concepción, Chile; EPOMAR, Universidad de Concepción, Concepción, Chile; EPOMAR, Universidad de Concepción, Concepción, Chile; EPOMAR, Universidad de Concepción, Concepción, Chile; EPOMAR, Universidad de Concepción, Concepción, Chile",2015 IEEE/OES Acoustics in Underwater Geosciences Symposium (RIO Acoustics),"19 May 2016","2015","","","1","8","The austral sardine (Sprattus fuegensis) is the target fish resource of a small-scale fishery operating in the Patagonian waters of Chile (41°30'S-46°00'S). Purse seine boats composed the fleet and landings have fluctuated between 14,344 and 48,589 tons during the period between 2006 and 2014. The stock assessment of the austral sardine utilizes a Statistical Catch-at-Length model and this method requires independent estimates of abundance. In order to evaluate the abundance of the austral sardine in the inner sea of the Chilean Patagonia, an acoustic assessment was carried out in Autumn 2013. The study area covered the coastal zone of two administrative regions of Chile, the Los Lagos region in May 2013 and the Aysen region in June 2013. An EK-60 echo sounder permitted to obtain the acoustic data with transducer of 38 and 120 kHz from which echograms were examined to obtain NASC data. A total of 25 fishing set allowed to estimating the species composition and the length structure of the pelagic fish. In addition, fish confined in a jail allowed to estimating the target strength (TS) of the austral sardine. The fishing data and the NASC permitted to evaluate the acoustic biomass of the austral sardine, as well as the biomass of the anchovy (Engraulis ringens) and the common sardine (Strangomera bentincki). The biomass was estimated according to a stratified sampling design, the Gaussian Likelihood Geostatistics technique, and the fit to probability density models. The stratified design included six strata in the Los Lagos region and five strata in the Aysen region, as well as four depth strata (0–50, 50–100, 100–150 and 150–200 m). The stratified estimates of the austral sardine biomass were 118,173 tons (CV=11.6%) in the Los Lagos region and 101,630 tons (CV=9%) in the Aysen region. The estimates of biomass based on Gaussian geostatistics were 122,469 tons (CV=7.6%) in the Los Lagos region and 92,890 (70%) tons in the Aysen region. The best fitting of probability density functions to the acoustic density was log-normal, and allowed to estimate 100,145 tons of austral sardine in the Los Lagos region and 81,965 tons in the Aysen region. The biomass of anchovy was 50,079 tons in the Los Lagos region and 18,668 tons in the Aysen region. The biomass of common sardine was minimal with 5,327 tons in the Los Lagos region only. The estimate of the TS for the austral sardine was −67.59 dB and represented fish between 9 and 17 cm. The study area is spatially heterogeneous, and hydrographical features could determine behaviors of the austral sardine that have not yet described. Therefore, the estimates of biomass here obtained must be regarded as a relative abundance. The basis here obtained will be of importance for monitoring yearly changes in the abundance of the sardine austral.","","978-1-4673-7019-6","10.1109/RIOAcoustics.2015.7473633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7473633","","Acoustics;Biomass;Transducers;Boats;Sea measurements;Recruitment;Electronic mail","","2","","23","IEEE","19 May 2016","","","IEEE","IEEE Conferences"
"Counterfeiting and Defending the Digital Forensic Process","Á. Botas; R. J. Rodríguez; T. Väisänen; P. Zdzichowski","Research Institute of Applied Sciences in Cybersecurity University of Leon, Leon, Spain; Research Institute of Applied Sciences in Cybersecurity University of Leon, Leon, Spain; NATO Cooperative Cyber Defence Centre of Excellence, Tallinn, Estonia; NATO Cooperative Cyber Defence Centre of Excellence, Tallinn, Estonia","2015 IEEE International Conference on Computer and Information Technology; Ubiquitous Computing and Communications; Dependable, Autonomic and Secure Computing; Pervasive Intelligence and Computing","28 Dec 2015","2015","","","1966","1971","During the last years, criminals have become awareof how digital evidences that lead them to courts and jail arecollected and analyzed. Hence, they have started to develop antiforensictechniques to evade, hamper, or nullify their evidences. Nowadays, these techniques are broadly used by criminals, causing the forensic analysis to be in a state of decay. To defeatagainst these techniques, forensic analyst need to first identifythem, and then to mitigate somehow their effects. In this paper, wereview the anti-forensic techniques and propose a new taxonomythat relates them to the initial phase of a forensic process mainlyaffected by each technique. Furthermore, we introduce mitigationtechniques for these anti-forensic techniques, considering thechance to overcome the anti-forensic techniques and the difficultyto apply them.","","978-1-5090-0154-5","10.1109/CIT/IUCC/DASC/PICOM.2015.291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363337","forensics;anti-forensics;categorization","Computers;Taxonomy;Digital forensics;Software;Computer crime;Browsers","","1","","26","IEEE","28 Dec 2015","","","IEEE","IEEE Conferences"
"iDevice forensics - Data integrity","M. J. Ahmed; U. Khalid; B. Aslam","National University of Sciences and Technology, Islamabad, Pakistan; National University of Sciences and Technology, Islamabad, Pakistan; National University of Sciences and Technology, Islamabad, Pakistan",17th IEEE International Multi Topic Conference 2014,"30 Apr 2015","2014","","","260","265","There are different types of embedded portable iDevices which can be used in criminal activities. The most commonly used gadget in the field of embedded portable iDevices is the iPad. Techniques used to acquire data from iPad include jail breaking, using inbuilt operating system utilities and using forensic tools (open source, freeware or commercial). Data integrity is a vital element of digital forensics which must be ensured for acceptability of findings (retrieved forensic artifacts) in a court of law. In order to establish data integrity in iDevice forensics, investigations were performed using different techniques, specifically an operating system inbuilt utility, a freeware tool and a commercial tool. The forensic artifacts acquired from these tools and techniques were then compared to ascertain their data integrity. The results have shown that on one hand the freeware tools, under certain circumstance, also preserve data integrity as their commercial counterparts but on the other hand the commercial tools, under certain circumstance, also make data integrity doubtful as generally believed for freeware tools. Based on the results, the research has also recommended various data acquisition tools that the forensic examiner can select depending on the requirement.","","978-1-4799-5755-2","10.1109/INMIC.2014.7097348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097348","","Mobile communication;Tablet computers;Reactive power;Libraries;Forensics;Media;Data mining","","1","","17","IEEE","30 Apr 2015","","","IEEE","IEEE Conferences"
"An Android-based Hoax Detection for Social Media","H. A. Pradana; A. Bramantoro; A. A. Alkodri; O. Rizan; T. Sugihartono; Supardi","Technical Information, STMIK Atma Luhur, Pangkalpinang, Bangka Belitung; Faculty of Information Technology, Universitas Budi Luhur, Jakarta, Indonesia; Technical Information, STMIK Atma Luhur, Pangkalpinang, Bangka Belitung; Technical Information, STMIK Atma Luhur, Pangkalpinang, Bangka Belitung; Technical Information, STMIK Atma Luhur, Pangkalpinang, Bangka Belitung; Master Program in Computer Science, Universitas Budi Luhur, Jakarta, Indonesia","2019 6th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","3 Feb 2020","2019","","","189","194","Hoax is defined as a try to convince any readers to believe particular deception. A news frequently spreads on social media. Hoaxes news is engineered to meet a personal purpose and caused by predefined factors. In Indonesia, one of the top discussions is about hoax news related to natural disasters spread through social media. Some people have been sentenced to jail because of making and spreading hoax news. To date, the internet community is unable to distinguish hoax news from the actual news. This is because there is no available tool to detect hoaxes. Therefore, this paper propose an initiative to have a hoax detection application in Android-based devices by using the web scraping technique to extract data downloaded from the inputted URL with a simplified interface. The retrieved data are optimized by utilizing Nazief-Adriani stemming algorithm and analyzed by using Rabin-Karp algorithm.","","978-602-0737-30-0","10.23919/EECSI48112.2019.8976998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976998","hoax detection;android-based devices;social media;web scraping;text analysis","","","1","","26","","3 Feb 2020","","","IEEE","IEEE Conferences"
"Fundamental limits on ex-post enforcement and implications for spectrum rights","V. Muthukumar; A. Sahai","BLISS, EECS, Berkeley, UC; BLISS, EECS, Berkeley, UC",2017 IEEE International Symposium on Dynamic Spectrum Access Networks (DySPAN),"8 May 2017","2017","","","1","10","The combination of emerging new communication technologies, economic growth, and current limitations on the amount of available dedicated spectrum necessitate sharing spectrum dynamically between incumbent (primary) users and opportunistic (secondary) users. This paper builds upon the seminal “spectrum jails” paradigm - a mathematical model for light-handed ex-post enforcement. Analyzing this as a Stackelberg game, we examine what kinds of rights for primaries and secondaries we can credibly enforce. While the primary cannot possibly be made to trust that secondaries will always be honest, it can trust that it will be protected from too much harmful interference and we show how the enforcer can set the ex-post enforcement parameters to do this no matter which secondary user becomes capable of using the band. Similarly, it is impossible to give a universal guarantee to all secondary users that the primary will never make false reports (“cry wolf”) against them. However, it is possible to show that “compatible” secondary users will trust that the primary user will not make false reports against them when the spectrum opportunity is sufficiently attractive for them to use.","","978-1-5090-2830-6","10.1109/DySPAN.2017.7920755","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920755","","Interference;Runtime;Games;Mathematical model;Dynamic spectrum access;Biological system modeling;Cost function","","1","","35","IEEE","8 May 2017","","","IEEE","IEEE Conferences"
"Analyzing Geospatial Distribution in Blockchains","S. Motepalli; H. -A. Jacobsen","Department of Electrical and Computer Engineering, University of Toronto; Department of Electrical and Computer Engineering, University of Toronto",2023 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPS),"6 Sep 2023","2023","","","100","108","Blockchains are decentralized; are they genuinely? We analyze blockchain decentralization's often-overlooked but quantifiable dimension: geospatial distribution of transaction processing. Blockchains bring with them the potential for geospatially distributed transaction processing. They enable validators from geospatially distant locations to partake in consensus protocols; we refer to them as minority validators. Based on our observations, in practice, most validators are often geographically concentrated in close proximity. Furthermore, we observed that minority validators tend not to meet the performance requirements, often misidentified as crash failures. Consequently, they are subject to punishment by jailing (removal from the validator set) and/or slashing (penalty in native tokens). Our emulations, under controlled conditions, demonstrate the same results, raising serious concerns about the potential for the geospatial centralization of validators. To address this, we developed a solution that easily integrates with consensus protocols, and we demonstrated its effectiveness.","2835-3498","979-8-3503-3535-4","10.1109/DAPPS57946.2023.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237020","blockchain;geospatial distribution;consensus protocols;decentralization","Emulation;Decentralized applications;Computer crashes;Geospatial analysis;Consensus protocol","","1","","39","IEEE","6 Sep 2023","","","IEEE","IEEE Conferences"
"The “Authorized Economic Operator” certification and firm performance","M. S. Miled; C. Fiore","Centre De Recherche Sur Le Transport Et La Logtistique, Université d' Aix-Marseille, Aix-Marseille, France; Centre De Recherche Sur Le Transport Et La Logtistique, Université d' Aix-Marseille, Aix-Marseille, France",2014 International Conference on Advanced Logistics and Transport (ICALT),"26 Jul 2014","2014","","","167","172","The complexity of the international supply chain, diversity and increasing number of stakeholders requires a wider range of resources, knowledge, experience, skills and technology that private company can't alone possess. Moreover, after the increase of various threats and risks to international supply chains especially after the nine eleven, firms became more responsible and accountable to their respective government for providing specific information regarding the imported or exported products. Penalties for non-compliance can be severe and may result in fines, jail time or loss of markets. That's why we saw appear new configurations at the international supply chain that give more importance to certain non-profit public sector actors, such as Customs. This new form of cooperation and / or public - private partnership for example, through the status of the Authorized Economic Operator “AEO” increase the challenge of piloting and securing flows throughout the international supply chain. Based on the theory that achievement of an integrated international supply chain depends not only on the integration of private companies that form the links in this chain but also the other category of stakeholders such as customs of export country, customs of import country, border protection police, sanitary control authorities, the port authority, this work aims to develop new management ideas for the international supply chain. In fact the importance of international supply chain continues to increase with the globalization of the economy and the growth of international trade and consequently the risk and vulnerability. The purpose of this work is to study the impact of this new integration processes throughout the supply chain such as customs procedures facilitations and in particular through “AEO” certification for a continuous flow of goods and information in the global supply chain and by so to the competitively and performance of firms.","","978-1-4799-4839-0","10.1109/ICAdLT.2014.6864112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6864112","“AEO”;customs facilitations;Firm performance;global supply chain;cooperation","Certification;Supply chains;Companies;Security;Economics","","1","","13","IEEE","26 Jul 2014","","","IEEE","IEEE Conferences"
"Designing a Secure, Scalable, and Cost-Effective Cloud Storage Solution: A Novel Approach to Data Management Using NextCloud, TrueNAS, and QEMU/KVM","P. Aryan; S. D. Shetty","Department of Computer Science, Birla Institute of Technology and Science, Pilani - Dubai, Dubai, UAE; Department of Computer Science, Birla Institute of Technology and Science, Pilani - Dubai, Dubai, UAE",2024 International Conference on Computational Intelligence and Network Systems (CINS),"10 Feb 2025","2024","","","1","8","This paper presents a novel approach to cloud storage challenges by integrating NextCloud, TrueNAS, and QEMU/KVM. Our research demonstrates how this combination creates a robust, flexible, and economical cloud storage system suitable for various applications. We detail the architecture, highlighting TrueNAS's ZFS-based storage, QEMU/KVM's virtualization, and NextCloud's user interface. Extensive testing shows superior data integrity and protection compared to traditional solutions. Performance benchmarks reveal high read/write speeds (up to 1.22 GB/s for sequential reads and 620 MB/s for writes) and also efficient small file handling. We demonstrate the solution's scalability under increasing workloads. Security analysis showcases effective jail isolation techniques in TrueNAS. Cost analysis indicates potential 50% reduction in total ownership cost over five years compared to commercial alternatives. This research contributes a practical, high-performance, cost-effective alternative to proprietary solutions, paving new ways for organizations to implement secure, scalable cloud storage while maintaining data control. Future work will focus on improving automated scaling and integration with emerging technologies like containerization and serverless computing.","","979-8-3315-0410-6","10.1109/CINS63881.2024.10864401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10864401","cloud storage;data management;open-source software;virtualization","Cloud computing;Scalability;Serverless computing;Organizations;User interfaces;Security;Virtualization;Protection;Secure storage;Optimization","","","","24","IEEE","10 Feb 2025","","","IEEE","IEEE Conferences"
"YouTube's Social Media Analytics as an Evaluation of Educational Teaching Videos","P. Baron","Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg, South Africa",2022 IEEE IFEES World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),"3 Jan 2023","2022","","","1","8","During the COVID-19 lockdowns in South Africa undergraduate laboratory sessions were forbidden, in turn, video-based tutorials were proposed as a tentative solution to address the lack of in-person practical demonstration sessions. Five videos were filmed on electrical engineering topics, uploaded, and then publicly shared on YouTube. An investigation was then conducted as to whether videos may be useful for the teaching of practical engineering content in the university context. This article is a report back on the findings of using YouTube as a platform for sharing and evaluating engineering educational practical tutorial videos. The gaol of this article is to introduce YouTube's social media analytics as a tool for educators to evaluate their educational videos. The findings suggest that educators may consider evaluating their videos using social media analytics, but these analytics should be reviewed critically and should comprise of several metrics measured temporally. Understanding YouTube's recommender system and its influence on the platform is also an important factor in evaluating one's video content.","","978-1-6654-7528-0","10.1109/WEEF-GEDC54384.2022.9996202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9996202","YouTube;social media analytics;digital pedagogy;video quality;recommender system","Measurement;Electrical engineering;COVID-19;Video on demand;Social networking (online);Tutorials;Media","","","","30","IEEE","3 Jan 2023","","","IEEE","IEEE Conferences"
"Intelligent control of people flow in restricted area","T. Louati; F. Ounnar; P. Pujo; C. Pistoresi","LSIS-UMR CNRS 7296, Aix-Marseille University, Marseilles, France; LSIS-UMR CNRS 7296, Aix-Marseille University, Marseilles, France; LSIS-UMR CNRS 7296, Aix-Marseille University, Marseilles, France; Research and Development service, ANTALIOS, Gemenos, France",CCCA12,"24 Jan 2013","2012","","","1","6","Holonic, isoarchic and multicriteria control of individuals flow based on the conjunction of biometrics, through hand pattern recognition, and RFID for controlling individuals is described. First, the proposed intelligent control of individuals flow system and its position relative to other existing systems are presented. Then, the main concepts of the proposed approach as holonic paradigm, isoarchic architecture and multicriteria decision are addressed. Finally, an implementation of our proposal is presented through a simulator of individuals flow control in jail.","","978-1-4673-4695-5","10.1109/CCCA.2012.6417888","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6417888","Intelligent control;Holonic paradigm;Isoarchic architecture;Multicriteria decision aid;Biometric;RFID;GIPSIS model","Logic gates;Biometrics (access control);Radiofrequency identification;Authorization;Vehicles;Pattern recognition;Control systems","","","","15","IEEE","24 Jan 2013","","","IEEE","IEEE Conferences"
"Viability of Small Dimension Crew Quarters for Surface Habitation","H. L. Litaker; R. L. Howard","NASA/Leidos Incorporated, Houston, TX; NASA/Leidos Incorporated, Houston, TX",2022 IEEE Aerospace Conference (AERO),"10 Aug 2022","2022","","","1","13","It is possible that in the next twenty years NASA may fly crew sleep quarters (CQ) on twice as many spacecraft as it has in the past fifty years. In short, US experience with spacecraft crew sleep quarters is limited. With few available standards to guide their design, there is significant uncertainty facing spacecraft currently in development, several of which face substantial mass and volume challenges. Those spacecraft developments will face considerable pressure to minimize crew quarters size, including those intended for use on the lunar surface. Given that a crew quarters is the only space a crew member can call his or her own during missions that can last weeks to years in duration, providing an appropriate volume is especially important and the reality is that all crew quarters flown to date have been smaller than minimum standards for US jail cells. This research will categorize functional capabilities of crew quarters and explore physical and virtual prototypes of small crew quarters that have attempted to include these capabilities. The Exploration Atmospheres Test at NASA Johnson Space Center represents the first opportunity to collect multi-day test data on crew quarters of this size in a gravitational environment. Intended to validate exploration prebreathe protocols, this test will house eight people inside a vacuum chamber that has been outfitted as a habitat prototype for twelve days. In addition to their other test activity, the crew will evaluate the acceptability of their crew quarters. This data will aid in establishing design guidelines and requirements for crew quarters in both short and long duration missions beyond low Earth orbit.","1095-323X","978-1-6654-3760-8","10.1109/AERO53065.2022.9843291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9843291","","Space vehicles;Uncertainty;Protocols;Space missions;NASA;Moon;Prototypes","","","","31","USGov","10 Aug 2022","","","IEEE","IEEE Conferences"
"Toward Systematic Considerations of Missingness in Visual Analytics","M. Sun; Y. Ma; Y. Wang; T. Li; J. Zhao; Y. Liu; P. -S. Zhong",Northern Illinois University; Northern Illinois University; University of Waterloo; Purdue University; University of Waterloo; Northern Illinois University; University of Illinois Chicago,2022 IEEE Visualization and Visual Analytics (VIS),"14 Dec 2022","2022","","","110","114","Data-driven decision making has been a common task in today's big data era, from simple choices such as finding a fast way to drive home, to complex decisions on medical treatment. It is often supported by visual analytics. For various reasons (e.g., system failure, interrupted network, intentional information hiding, or bias), visual analytics for sensemaking of data involves missingness (e.g., data loss and incomplete analysis), which impacts human decisions. For example, missing data can cost a business millions of dollars, and failing to recognize key evidence can put an innocent person in jail. Being aware of missingness is critical to avoid such catastrophes. To fulfill this, as an initial step, we consider missingness in visual analytics from two aspects: data-centric and human-centric. The former emphasizes missingness in three data-related categories: data composition, data relationship, and data usage. The latter focuses on the human-perceived missingness at three levels: observed-level, inferred-level, and ignored-level. Based on them, we discuss possible roles of visualizations for handling missingness, and conclude our discussion with future research opportunities.","2771-9553","978-1-6654-8812-9","10.1109/VIS54862.2022.00031","NSF(grant numbers:IIS-2002082,DMS-2152070); Northern Illinois University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973227","Missingness;missing data visualization;sensemaking;visual analytics","Systematics;Costs;Visual analytics;Decision making;Data visualization;Medical treatment;Big Data","","","","49","IEEE","14 Dec 2022","","","IEEE","IEEE Conferences"
"Mobility Management of Heterogeneous Network in Restricted Areas","F. A. Merazga","Independent Researcher, Algiers, Algeria","2024 1st International Conference on Electrical, Computer, Telecommunication and Energy Technologies (ECTE-Tech)","28 Jan 2025","2024","","","1","8","The recent progress has made possible the coexistence and interconnection of different wireless networks generations by creating what is called heterogeneous network. This heterogeneous network has brought ubiquitous connectivity and more bandwidth to users. Although, managing mobility within heterogeneous networks has been a challenge to network operators and manufacturers to ensure quality of service QoS to users, a new challenge has raised in recent years in some countries to control this ubiquitous connectivity in some restricted areas such as exam centers, jails, etc. For example, in Algeria internet is restricted during the national baccalaureate exam disrupting the wireless internet of all the country for almost a week. The same phenomenon is observed in Iraq, Jordan, Syria. Internet disruption causes economic losses and generates a feeling of frustration among people. In this paper, a solution is proposed to prevent cheating not by shutting down internet or by jamming radio transmission but on the contrary by enhancing and controlling connectivity in restricted areas.","","979-8-3503-8848-0","10.1109/ECTE-Tech62477.2024.10851128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851128","heterogeneous network;cell individual offset;exam;handover;reselection;ns3;RSRP;RSRQ","Economics;Wireless networks;Quality of service;Programming;Handover;Propagation losses;Heterogeneous networks;Internet;Fraud;Jamming","","","","8","IEEE","28 Jan 2025","","","IEEE","IEEE Conferences"
"Smart Home Surveillance System Using Artificial Intelligence","S. Sayyad; A. Momin; M. Shaikh; R. Mirajkar; P. Shelke","Department: Information Technology, Vishwakarma Institute of Information Technology, Pune, India; Department: Information Technology, Vishwakarma Institute of Information Technology, Pune, India; Department: Information Technology, Vishwakarma Institute of Information Technology, Pune, India; Department: Information Technology, Vishwakarma Institute of Information Technology, Pune, India; Department: Information Technology, Vishwakarma Institute of Information Technology, Pune, India",2023 International Conference on Emerging Smart Computing and Informatics (ESCI),"19 Apr 2023","2023","","","1","7","Imagine a home surveillance camera observation AN aged parent and anticipating potential considerations whereas respecting their privacy. Imagine another camera predicting a home felony supported suspicious behaviors, permitting time to send word the home-owner United Nations agency will successively send word the police before the event occurs-or a complete network of cameras operating along to stay a watch on neighborhood safety. Attacks, theft, and other types of unlawful activity in homes are all on the rise. The Republic of South Africa nonetheless had several home invasions and robberies despite the jail and stay-at-home directive. According to the research, assaults on people and their property have progressed to include sexual offences. This has indicated the need for increased and better security measures for houses, buildings, and people. In order to address security issues that arise in good home environments, the industry is expected to continue to grow as good home automation systems are developed. This is also shown by the pace at which research in the field is moving. Regardless of its location, a secure home may help its residents sleep soundly and worry-free.","","978-1-6654-7524-2","10.1109/ESCI56872.2023.10100088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10100088","Face Recognition;Cascade Classifier;Image Processing;Human Face;LBPH;Haar cascade","Privacy;Sleep;Law enforcement;Face recognition;Surveillance;Smart homes;Watches","","","","11","IEEE","19 Apr 2023","","","IEEE","IEEE Conferences"
"AI Fairness 360: An extensible toolkit for detecting and mitigating algorithmic bias","R. K. E. Bellamy; K. Dey; M. Hind; S. C. Hoffman; S. Houde; K. Kannan; P. Lohia; J. Martino; S. Mehta; A. Mojsilović; S. Nagar; K. N. Ramamurthy; J. Richards; D. Saha; P. Sattigeri; M. Singh; K. R. Varshney; Y. Zhang",NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,IBM Journal of Research and Development,"11 Nov 2019","2019","63","4/5","4:1","4:15","Fairness is an increasingly important concern as machine learning models are used to support decision making in high-stakes applications such as mortgage lending, hiring, and prison sentencing. This article introduces a new open-source Python toolkit for algorithmic fairness, AI Fairness 360 (AIF360), released under an Apache v2.0 license (https://github.com/ibm/aif360). The main objectives of this toolkit are to help facilitate the transition of fairness research algorithms for use in an industrial setting and to provide a common framework for fairness researchers to share and evaluate algorithms. The package includes a comprehensive set of fairness metrics for datasets and models, explanations for these metrics, and algorithms to mitigate bias in datasets and models. It also includes an interactive Web experience that provides a gentle introduction to the concepts and capabilities for line-of-business users, researchers, and developers to extend the toolkit with their new algorithms and improvements and to use it for performance benchmarking. A built-in testing infrastructure maintains code quality.","0018-8646","","10.1147/JRD.2019.2942287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843908","","Measurement;Prediction algorithms;Artificial intelligence;Machine learning algorithms;Pipelines;Open source software;Data models","","383","","37","IBM","18 Sep 2019","","","IBM","IBM Journals"
